"","species","cluster","Endemism","Occ.Ri","Occ.Di","Occ.Ai","Occ.Fi","Occ.IndVal","Occ.DilVal","Ri","Di","Ai","Fi","IndVal","DilVal"
"Latrunculia (Latrunculia) biformis","Latrunculia (Latrunculia) biformis","2.1",TRUE,2,2,0.0740740740740741,1,0.0740740740740741,0,16109.8236112533,16109.8236112533,0.0741235874156191,1,0.0741235874156191,0
"Halichondria panicea","Halichondria panicea","2.1",FALSE,3,4,0.111111111111111,0.75,0.0833333333333333,0.0277777777777778,24168.5452974185,36312.9884124752,0.111202910925117,0.66556200285393,0.0740124321185081,0.037190478806609
"Halichondria (Halichondria) panicea","Halichondria (Halichondria) panicea","2.1",FALSE,3,4,0.111111111111111,0.75,0.0833333333333333,0.0277777777777778,24168.5452974185,36345.7276171432,0.111202910925117,0.664962483403935,0.0739457638105124,0.0372571471146047
"Haliclona (Reniera) topsenti","Haliclona (Reniera) topsenti","2.1",TRUE,2,2,0.0740740740740741,1,0.0740740740740741,0,15948.3382486911,15948.3382486911,0.0733805703176627,1,0.0733805703176627,0
"Scleroptilum grandiflorum","Scleroptilum grandiflorum","3.1",FALSE,2,4,0.133333333333333,0.5,0.0666666666666667,0.0666666666666667,24376.241364525,46817.6351214753,0.137457374645037,0.520663662341706,0.0715690600985611,0.0658883145464763
"Escharella discors","Escharella discors","1.3",FALSE,2,3,0.1,0.666666666666667,0.0666666666666667,0.0333333333333333,20948.4504450112,29481.2845661131,0.100282359493586,0.710567763695419,0.0712574119234573,0.0290249475701285
"Anthothoe albocincta","Anthothoe albocincta","1.5",TRUE,2,2,0.0689655172413793,1,0.0689655172413793,0,20132.3912933954,20132.3912933954,0.0708249486848657,1,0.0708249486848657,0
"Aplysina holda","Aplysina holda","3.1",TRUE,1,1,0.0666666666666667,1,0.0666666666666667,0,12271.890070731,12271.890070731,0.0692010620435558,1,0.0692010620435558,0
"Synoicum citrum","Synoicum citrum","1.5",TRUE,2,2,0.0689655172413793,1,0.0689655172413793,0,19615.6402673658,19615.6402673658,0.0690070392091342,1,0.0690070392091342,0
"Adagnesia fissa","Adagnesia fissa","3.1",TRUE,1,1,0.0666666666666667,1,0.0666666666666667,0,12024.5945246539,12024.5945246539,0.0678065649996168,1,0.0678065649996168,0
"Eucalathis fasciculata","Eucalathis fasciculata","1.3",FALSE,2,3,0.1,0.666666666666667,0.0666666666666667,0.0333333333333333,21383.7104563874,32333.0004300965,0.102365993366582,0.661358679118526,0.0677006381595783,0.0346653552070035
"Alcyonium elegans","Alcyonium elegans","1.3",FALSE,2,3,0.1,0.666666666666667,0.0666666666666667,0.0333333333333333,20842.7874992024,30908.9831458999,0.0997765402424402,0.674327828929797,0.0672820977598113,0.0324944424826289
"Adeonella majuscula","Adeonella majuscula","1.3",FALSE,2,3,0.1,0.666666666666667,0.0666666666666667,0.0333333333333333,21271.6447546337,32220.9347283429,0.10182952347256,0.660180871038551,0.0672259035035551,0.0346036199690047
"Mycale (Mycale) fibrosa","Mycale (Mycale) fibrosa","2.1",TRUE,2,2,0.0740740740740741,1,0.0740740740740741,0,14550.577425124,14550.577425124,0.0669492741661992,1,0.0669492741661992,0
"Iophon unicorne","Iophon unicorne","2.1",TRUE,2,2,0.0740740740740741,1,0.0740740740740741,0,14550.577425124,14550.577425124,0.0669492741661992,1,0.0669492741661992,0
"Mycale fibrosa","Mycale fibrosa","2.1",TRUE,2,2,0.0740740740740741,1,0.0740740740740741,0,14550.577425124,14550.577425124,0.0669492741661992,1,0.0669492741661992,0
"Pleuractis gravis","Pleuractis gravis","1.1",TRUE,6,6,0.0659340659340659,1,0.0659340659340659,0,71993.253973148,71993.253973148,0.0668438964985303,1,0.0668438964985303,0
"Hydroides exaltata","Hydroides exaltata","1.1",FALSE,7,8,0.0769230769230769,0.875,0.0673076923076923,0.00961538461538462,82119.0900835243,94405.5674100979,0.0762454765573442,0.869854314066022,0.0663224567114256,0.00992301984591862
